Name	SideEffectName	MinFrequency	MaxFrequency	MeanFrequency
nicotine	Dermatitis	0.019	0.019	0.019
nicotine	Diarrhoea	0.019	0.019	0.019
nicotine	Dysgeusia	0.019	0.019	0.019
nicotine	Dysmenorrhoea	0.03	0.03	0.03
nicotine	Dyspepsia	0.012	0.012	0.012
nicotine	Dyspnoea	0.05	0.05	0.05
nicotine	Feeling abnormal	0.03	0.03	0.03
nicotine	Flatulence	0.027	0.04	0.0335
nicotine	Gastrointestinal pain	0.03	0.03	0.03
nicotine	Headache	0.033	0.18	0.08900000000000001
nicotine	Heartburn	0.012	0.012	0.012
nicotine	Menstrual disorder	0.04	0.04	0.04
nicotine	Mouth ulceration	0.016	0.016	0.016
nicotine	Musculoskeletal discomfort	0.03	0.05	0.037
nicotine	Myalgia	0.03	0.031	0.0305
nicotine	Nausea	0.024	0.05	0.036333333333333336
nicotine	Oedema	0.019	0.019	0.019
nicotine	Pain	0.021	0.021	0.021
nicotine	Palpitations	0.04	0.04	0.04
nicotine	Paraesthesia	0.019	0.019	0.019
nicotine	Pruritus	0.019	0.02	0.0195
nicotine	Rash	0.019	0.019	0.019
nicotine	Stomatitis	0.016	0.016	0.016
nicotine	Tingling sensation	0.019	0.019	0.019
nicotine	Tongue disorder	0.012	0.012	0.012
nicotine	Tooth disorder	0.04	0.04	0.04
nicotine	Vertigo	0.031	0.031	0.031
nifedipine	Abdominal pain	0.012	0.014	0.013000000000000001
nifedipine	Affect lability	0.07	0.07	0.07
nifedipine	Angina pectoris	0.031	0.031	0.031
nifedipine	Asthenia	0.012	0.12	0.05216666666666667
nifedipine	Chest pain	0.011	0.011	0.011
nifedipine	Constipation	0.01	0.035	0.02425
nifedipine	Cough	0.06	0.06	0.06
nifedipine	Cramp muscle	0.08	0.08	0.08
nifedipine	Cramps of lower extremities	0.027	0.027	0.027
nifedipine	Dermatitis	0.023	0.023	0.023
nifedipine	Dizziness	0.023	0.27	0.0836
nifedipine	Dry mouth	0.011	0.011	0.011
nifedipine	Dyspepsia	0.012	0.11	0.04566666666666667
nifedipine	Dyspnoea	0.017	0.06	0.0385
nifedipine	Erectile dysfunction	0.015	0.015	0.015
nifedipine	Fatigue	0.012	0.062	0.04325
nifedipine	Feeling hot	0.04	0.25	0.145
nifedipine	Flatulence	0.015	0.015	0.015
nifedipine	Flushing	0.024	0.25	0.10466666666666667
nifedipine	Gastrointestinal pain	0.012	0.014	0.013000000000000001
nifedipine	Headache	0.031	0.23	0.13566666666666669
nifedipine	Heartburn	0.11	0.11	0.11
nifedipine	Hypoaesthesia	0.012	0.012	0.012
nifedipine	Insomnia	0.018	0.018	0.018
nifedipine	Lightheadedness	0.27	0.27	0.27
nifedipine	Mood swings	0.07	0.07	0.07
nifedipine	Muscle spasms	0.027	0.08	0.0535
nifedipine	Nasal congestion	0.06	0.06	0.06
nifedipine	Nausea	0.02	0.11	0.0495
nifedipine	Nervousness	0.018	0.07	0.044000000000000004
nifedipine	Oedema	0.099	0.101	0.1
nifedipine	Oedema peripheral	0.07	0.07	0.07
nifedipine	Oropharyngeal discomfort	0.06	0.06	0.06
nifedipine	Oropharyngeal pain	0.06	0.06	0.06
nifedipine	Pain	0.027	0.027	0.027
nifedipine	Palpitations	0.023	0.07	0.0465
nifedipine	Polyuria	0.015	0.015	0.015
nifedipine	Pruritus	0.011	0.011	0.011
nifedipine	Rash	0.023	0.023	0.023
nifedipine	Sensation of heat	0.04	0.25	0.145
nifedipine	Somnolence	0.015	0.015	0.015
nifedipine	Tachycardia	0.012	0.012	0.012
nifedipine	Tension	0.018	0.07	0.044000000000000004
nifedipine	Throat sore	0.06	0.06	0.06
nifedipine	Tremor	0.08	0.08	0.08
nifedipine	Urine output increased	0.015	0.015	0.015
nifedipine	Wheezing	0.06	0.06	0.06
nilotinib	Abdominal distension	0.01	0.01	0.01
nilotinib	Abdominal pain	0.0	0.1	0.04857142857142858
nilotinib	Acute coronary syndrome	0.01	0.01	0.01
nilotinib	Alanine aminotransferase increased	0.03	1.0	0.29
nilotinib	Albumin low	0.0	0.04	0.02
nilotinib	Alopecia	0.0	0.14	0.076
nilotinib	Anaemia	0.04	0.27	0.10571428571428575
nilotinib	Anal abscess	0.01	0.01	0.01
nilotinib	Angina pectoris	0.01	0.01	0.01
nilotinib	Angiopathy	0.01	0.11	0.06
nilotinib	Anxiety	0.01	0.01	0.01
nilotinib	Arterial occlusion	0.01	0.01	0.01
nilotinib	Arterial occlusive disease	0.01	0.01	0.01
nilotinib	Arterial stenosis limb	0.01	0.01	0.01
nilotinib	Arteriosclerosis	0.01	0.01	0.01
nilotinib	Arthralgia	0.0	0.09	0.05
nilotinib	Arthritis	0.01	0.01	0.01
nilotinib	Aspartate aminotransferase increased	0.01	1.0	0.265
nilotinib	Asthenia	0.0	1.0	0.16699999999999998
nilotinib	Atrial fibrillation	0.01	0.01	0.01
nilotinib	Blepharitis	0.01	0.01	0.01
nilotinib	Blister	0.01	0.01	0.01
nilotinib	Blood albumin decreased	0.0	0.04	0.02
nilotinib	Blood alkaline phosphatase increased	0.0	0.01	0.005
nilotinib	Blood bilirubin increased	0.01	1.0	0.215
nilotinib	Blood bilirubin unconjugated increased	0.01	0.01	0.01
nilotinib	Blood creatinine increased	0.0	0.01	0.005
nilotinib	Blood glucose decreased	0.01	0.01	0.01
nilotinib	Blood insulin decreased	0.01	0.01	0.01
nilotinib	Blood lactate dehydrogenase increased	0.01	0.01	0.01
nilotinib	Blood parathyroid hormone increased	0.01	0.01	0.01
nilotinib	Blood phosphorus decreased	1.0	1.0	1.0
nilotinib	Blood pressure increased	0.01	0.01	0.01
nilotinib	Blood urea increased	0.01	0.01	0.01
nilotinib	Blood uric acid increased	0.01	0.01	0.01
nilotinib	Body temperature altered	0.01	0.01	0.01
nilotinib	Bone pain	0.0	0.06	0.03166666666666667
nilotinib	Bradycardia	0.01	0.01	0.01
nilotinib	Brain oedema	0.01	0.01	0.01
nilotinib	Breast pain	0.01	0.01	0.01
nilotinib	Bronchitis	0.01	0.01	0.01
nilotinib	Candida infection	0.01	0.01	0.01
nilotinib	Cardiac failure	0.01	0.01	0.01
nilotinib	Cardiac murmur	0.01	0.01	0.01
nilotinib	Cardiomegaly	0.01	0.01	0.01
nilotinib	Chest pain	0.01	0.01	0.01
nilotinib	Chills	0.01	0.01	0.01
nilotinib	Cholestasis	0.01	0.01	0.01
nilotinib	Chorioretinopathy	0.01	0.01	0.01
nilotinib	Chromaturia	0.01	0.01	0.01
nilotinib	Conjunctival haemorrhage	0.01	0.01	0.01
nilotinib	Conjunctivitis	0.01	0.01	0.01
nilotinib	Conjunctivitis allergic	0.01	0.01	0.01
nilotinib	Connective tissue disorder	0.0	0.19	0.09142857142857143
nilotinib	Constipation	0.0	0.12	0.055
nilotinib	Coronary artery disease	0.01	0.01	0.01
nilotinib	Creatinine increased	0.0	0.01	0.005
nilotinib	Cyanosis	0.01	0.01	0.01
nilotinib	Decreased appetite	0.0	0.08	0.032
nilotinib	Dehydration	0.01	0.01	0.01
nilotinib	Dermal cyst	0.01	0.01	0.01
nilotinib	Dermatitis	0.0	0.37	0.14750000000000002
nilotinib	Dermatitis bullous	0.01	0.01	0.01
nilotinib	Diarrhoea	0.0	0.3	0.08571428571428572
nilotinib	Diplopia	0.01	0.01	0.01
nilotinib	Discomfort	0.01	0.01	0.01
nilotinib	Disturbance in attention	0.01	0.01	0.01
nilotinib	Dizziness	0.01	0.01	0.01
nilotinib	Drug eruption	0.01	0.01	0.01
nilotinib	Dry eye	0.01	0.01	0.01
nilotinib	Dry mouth	0.01	0.01	0.01
nilotinib	Dry skin	0.0	0.1	0.060000000000000005
nilotinib	Dysaesthesia	0.01	0.01	0.01
nilotinib	Dyslipidaemia	0.01	0.01	0.01
nilotinib	Dyspepsia	0.0	0.06	0.03
nilotinib	Dysuria	0.01	0.01	0.01
nilotinib	Ecchymosis	0.01	0.01	0.01
nilotinib	Enterocolitis	0.01	0.01	0.01
nilotinib	Epistaxis	0.01	0.01	0.01
nilotinib	Erectile dysfunction	0.01	0.01	0.01
nilotinib	Erythema	0.0	0.06	0.028333333333333332
nilotinib	Erythema multiforme	0.01	0.01	0.01
nilotinib	Erythema nodosum	0.01	0.01	0.01
nilotinib	Exfoliative rash	0.01	0.01	0.01
nilotinib	Eye haemorrhage	0.01	0.01	0.01
nilotinib	Eye irritation	0.01	0.01	0.01
nilotinib	Eye pain	0.01	0.01	0.01
nilotinib	Eye swelling	0.01	0.01	0.01
nilotinib	Eyelid oedema	0.01	0.01	0.01
nilotinib	Face oedema	0.01	0.01	0.01
nilotinib	Fatigue	0.0	1.0	0.2316666666666667
nilotinib	Feeling abnormal	0.01	0.01	0.01
nilotinib	Feeling hot	0.01	0.01	0.01
nilotinib	Flank pain	0.01	0.01	0.01
nilotinib	Furuncle	0.01	0.01	0.01
nilotinib	Gastric ulcer	0.01	0.01	0.01
nilotinib	Gastritis	0.01	0.01	0.01
nilotinib	Gastroenteritis	0.01	0.01	0.01
nilotinib	Gastrointestinal disorder	0.01	1.0	0.29333333333333333
nilotinib	Gastrointestinal haemorrhage	0.01	0.01	0.01
nilotinib	Gastrointestinal pain	0.0	0.1	0.04857142857142858
nilotinib	Gastrointestinal ulcer perforation	0.01	0.01	0.01
nilotinib	Gastrooesophageal reflux disease	0.01	0.01	0.01
nilotinib	Gingivitis	0.01	0.01	0.01
nilotinib	Globulins decreased	0.01	0.01	0.01
nilotinib	Gout	0.01	0.01	0.01
nilotinib	Gravitational oedema	0.01	0.01	0.01
nilotinib	Gynaecomastia	0.01	0.01	0.01
nilotinib	Haematemesis	0.01	0.01	0.01
nilotinib	Haematoma	0.01	0.01	0.01
nilotinib	Haematuria	0.01	0.01	0.01
nilotinib	Haemoglobin decreased	0.01	0.01	0.01
nilotinib	Haemorrhage intracranial	0.01	0.01	0.01
nilotinib	Haemorrhoids	0.01	0.01	0.01
nilotinib	Headache	0.01	0.22	0.098
nilotinib	Hepatitis	0.01	0.01	0.01
nilotinib	Hepatitis toxic	0.01	0.01	0.01
nilotinib	Hepatomegaly	0.01	0.01	0.01
nilotinib	Hepatotoxicity	0.01	0.01	0.01
nilotinib	Herpes virus infection	0.01	0.01	0.01
nilotinib	Hiatus hernia	0.01	0.01	0.01
nilotinib	Hyperaemia	0.01	0.01	0.01
nilotinib	Hyperaesthesia	0.01	0.01	0.01
nilotinib	Hyperbilirubinaemia	1.0	1.0	1.0
nilotinib	Hypercholesterolaemia	0.0	0.01	0.005
nilotinib	Hyperglycaemia	0.01	0.12	0.06333333333333334
nilotinib	Hyperkalaemia	0.01	0.06	0.0325
nilotinib	Hyperkeratosis	0.01	0.01	0.01
nilotinib	Hyperparathyroidism secondary	0.01	0.01	0.01
nilotinib	Hypertensive crisis	0.01	0.01	0.01
nilotinib	Hyperthyroidism	0.01	0.01	0.01
nilotinib	Hyperuricaemia	0.01	0.01	0.01
nilotinib	Hypoaesthesia	0.01	0.01	0.01
nilotinib	Hypocalcaemia	0.01	0.05	0.02666666666666667
nilotinib	Hypoglycaemia	0.01	0.01	0.01
nilotinib	Hypokalaemia	0.01	0.09	0.04
nilotinib	Hyponatraemia	0.01	0.07	0.04
nilotinib	Hypophosphataemia	0.01	1.0	0.20750000000000002
nilotinib	Hypotension	0.01	0.01	0.01
nilotinib	Hypothyroidism	0.01	0.01	0.01
nilotinib	Ill-defined disorder	0.01	0.01	0.01
nilotinib	Increased appetite	0.01	0.01	0.01
nilotinib	Infection	0.0	0.24	0.11166666666666668
nilotinib	Infestation	0.0	0.24	0.11166666666666668
nilotinib	Infestation NOS	0.0	0.24	0.11166666666666668
nilotinib	Influenza like illness	0.01	0.01	0.01
nilotinib	Insulin C-peptide decreased	0.01	0.01	0.01
nilotinib	Intermittent claudication	0.01	0.01	0.01
nilotinib	Interstitial lung disease	0.01	0.01	0.01
nilotinib	Jaundice	0.01	0.01	0.01
nilotinib	Joint swelling	0.01	0.01	0.01
nilotinib	Laryngeal pain	0.01	0.01	0.01
nilotinib	Lethargy	0.01	0.01	0.01
nilotinib	Leukocytosis	0.01	0.01	0.01
nilotinib	Lipase increased	0.04	1.0	0.278
nilotinib	Localised oedema	0.01	0.01	0.01
nilotinib	Loss of consciousness	0.01	0.01	0.01
nilotinib	Malaise	0.01	0.01	0.01
nilotinib	Malnutrition	0.01	0.17	0.11
nilotinib	Mediastinal disorder	0.0	0.27	0.12666666666666668
nilotinib	Melaena	0.01	0.01	0.01
nilotinib	Mental disorder	0.0	0.12	0.05
nilotinib	Micturition urgency	0.01	0.01	0.01
nilotinib	Migraine	0.01	0.01	0.01
nilotinib	Mouth ulceration	0.01	0.01	0.01
nilotinib	Muscle spasms	0.0	0.29	0.094
nilotinib	Muscular weakness	0.01	0.01	0.01
nilotinib	Musculoskeletal discomfort	0.0	0.12	0.0725
nilotinib	Musculoskeletal pain	0.01	0.01	0.01
nilotinib	Musculoskeletal stiffness	0.01	0.01	0.01
nilotinib	Myalgia	0.01	0.12	0.08499999999999999
nilotinib	Myocardial infarction	0.01	0.01	0.01
nilotinib	Nausea	0.0	0.34	0.15000000000000002
nilotinib	Nervous system disorder	0.01	1.0	0.24181818181818182
nilotinib	Neutropenia	0.11	1.0	0.31125
nilotinib	Nocturia	0.01	0.01	0.01
nilotinib	Ocular surface disease	0.01	0.01	0.01
nilotinib	Oedema peripheral	0.0	0.17	0.05800000000000001
nilotinib	Oesophageal pain	0.01	0.01	0.01
nilotinib	Oesophagitis ulcerative	0.01	0.01	0.01
nilotinib	Optic neuritis	0.01	0.01	0.01
nilotinib	Oral candidiasis	0.01	0.01	0.01
nilotinib	Oropharyngeal pain	0.01	0.01	0.01
nilotinib	Pain	0.01	0.01	0.01
nilotinib	Pain in extremity	0.01	0.07	0.04
nilotinib	Pain of skin	0.01	0.01	0.01
nilotinib	Pancreatitis	0.01	0.01	0.01
nilotinib	Pancytopenia	0.01	0.01	0.01
nilotinib	Papilloedema	0.01	0.01	0.01
nilotinib	Paraesthesia	0.01	0.01	0.01
nilotinib	Pericardial effusion	0.01	0.01	0.01
nilotinib	Pericarditis	0.01	0.01	0.01
nilotinib	Periorbital oedema	0.01	0.01	0.01
nilotinib	Peripheral arterial occlusive disease	0.01	0.01	0.01
nilotinib	Peripheral artery stenosis	0.01	0.01	0.01
nilotinib	Petechiae	0.01	0.01	0.01
nilotinib	Pharyngitis	0.01	0.01	0.01
nilotinib	Pharyngolaryngeal pain	0.01	0.01	0.01
nilotinib	Phosphatase alkaline increased	0.0	0.01	0.005
nilotinib	Photophobia	0.01	0.01	0.01
nilotinib	Photopsia	0.01	0.01	0.01
nilotinib	Photosensitivity	0.01	0.01	0.01
nilotinib	Photosensitivity reaction	0.01	0.01	0.01
nilotinib	Pleural effusion	0.01	0.01	0.01
nilotinib	Pleurisy	0.01	0.01	0.01
nilotinib	Pleuritic pain	0.01	0.01	0.01
nilotinib	Pneumonia	0.01	0.01	0.01
nilotinib	Pollakiuria	0.01	0.01	0.01
nilotinib	Pruritus	0.0	0.24	0.10333333333333335
nilotinib	Psoriasis	0.01	0.01	0.01
nilotinib	Pulmonary hypertension	0.01	0.01	0.01
nilotinib	Pulmonary oedema	0.01	0.01	0.01
nilotinib	Rash	0.0	0.37	0.14750000000000002
nilotinib	Rectal haemorrhage	0.01	0.01	0.01
nilotinib	Renal failure	0.01	0.01	0.01
nilotinib	Restless legs syndrome	0.01	0.01	0.01
nilotinib	Retroperitoneal haemorrhage	0.01	0.01	0.01
nilotinib	Sebaceous hyperplasia	0.01	0.01	0.01
nilotinib	Sensitivity of teeth	0.01	0.01	0.01
nilotinib	Sepsis	0.01	0.01	0.01
nilotinib	Shock	0.01	0.01	0.01
nilotinib	Shock haemorrhagic	0.01	0.01	0.01
nilotinib	Skin atrophy	0.01	0.01	0.01
nilotinib	Skin discolouration	0.01	0.01	0.01
nilotinib	Skin disorder	0.0	0.36	0.21333333333333337
nilotinib	Skin exfoliation	0.01	0.01	0.01
nilotinib	Skin hyperpigmentation	0.01	0.01	0.01
nilotinib	Skin hypertrophy	0.01	0.01	0.01
nilotinib	Skin ulcer	0.01	0.01	0.01
nilotinib	Stomatitis	0.01	0.01	0.01
nilotinib	Subcutaneous abscess	0.01	0.01	0.01
nilotinib	Subileus	0.01	0.01	0.01
nilotinib	Swelling face	0.01	0.01	0.01
nilotinib	Syncope	0.01	0.01	0.01
nilotinib	Throat irritation	0.01	0.01	0.01
nilotinib	Thrombocytopenia	0.09	1.0	0.315
nilotinib	Thrombocytosis	0.01	0.01	0.01
nilotinib	Thrombosis	0.01	0.01	0.01
nilotinib	Thyroiditis	0.01	0.01	0.01
nilotinib	Tinea pedis	0.01	0.01	0.01
nilotinib	Tremor	0.01	0.01	0.01
nilotinib	Troponin increased	0.01	0.01	0.01
nilotinib	Unspecified disorder of skin and subcutaneous tissue	0.0	0.36	0.21333333333333337
nilotinib	Urinary incontinence	0.01	0.01	0.01
nilotinib	Urinary tract infection	0.01	0.01	0.01
nilotinib	Ventricular dysfunction	0.01	0.01	0.01
nilotinib	Vision blurred	0.01	0.01	0.01
nilotinib	Visual acuity reduced	0.01	0.01	0.01
nilotinib	Visual impairment	0.01	0.01	0.01
nilotinib	Vomiting	0.0	0.18	0.07333333333333332
nilotinib	Wheezing	0.01	0.01	0.01
nilutamide	Abnormal vision	0.067	0.067	0.067
nilutamide	Alanine aminotransferase increased	0.076	0.076	0.076
nilutamide	Alcohol intolerance	0.05	0.05	0.05
nilutamide	Angina pectoris	0.02	0.02	0.02
nilutamide	Arthritis	0.02	0.02	0.02
nilutamide	Aspartate aminotransferase increased	0.08	0.08	0.08
nilutamide	Blood alkaline phosphatase increased	0.03	0.03	0.03
nilutamide	Blood creatinine increased	0.02	0.02	0.02
nilutamide	Blood urea increased	0.02	0.02	0.02
nilutamide	Cardiac failure	0.03	0.03	0.03
nilutamide	Cataract	0.02	0.02	0.02
nilutamide	Constipation	0.071	0.071	0.071
nilutamide	Cough	0.02	0.02	0.02
nilutamide	Cough increased	0.02	0.02	0.02
nilutamide	Creatinine increased	0.02	0.02	0.02
nilutamide	Diarrhoea	0.02	0.02	0.02
nilutamide	Discomfort	0.02	0.02	0.02
nilutamide	Dizziness	0.02	0.071	0.0455
nilutamide	Dry mouth	0.02	0.02	0.02
nilutamide	Dyspnoea	0.062	0.062	0.062
nilutamide	Feeling abnormal	0.02	0.02	0.02
nilutamide	Gastrointestinal disorder	0.02	0.02	0.02
nilutamide	Gastrointestinal haemorrhage	0.02	0.02	0.02
nilutamide	Haptoglobin increased	0.02	0.02	0.02
nilutamide	Hot flush	0.284	0.284	0.284
nilutamide	Hyperglycaemia	0.04	0.04	0.04
nilutamide	Hypertension	0.053	0.053	0.053
nilutamide	Ill-defined disorder	0.02	0.02	0.02
nilutamide	Interstitial lung disease	0.02	0.02	0.02
nilutamide	Leukopenia	0.03	0.03	0.03
nilutamide	Loss of consciousness	0.02	0.02	0.02
nilutamide	Lung disorder	0.04	0.04	0.04
nilutamide	Malaise	0.02	0.02	0.02
nilutamide	Melaena	0.02	0.02	0.02
nilutamide	Menopausal symptoms	0.284	0.284	0.284
nilutamide	Nausea	0.098	0.098	0.098
nilutamide	Nervousness	0.02	0.02	0.02
nilutamide	Oedema	0.02	0.02	0.02
nilutamide	Paraesthesia	0.03	0.03	0.03
nilutamide	Phosphatase alkaline increased	0.03	0.03	0.03
nilutamide	Photophobia	0.02	0.02	0.02
nilutamide	Pruritus	0.02	0.02	0.02
nilutamide	Rhinitis	0.02	0.02	0.02
nilutamide	Shock	0.02	0.02	0.02
nilutamide	Syncope	0.02	0.02	0.02
nilutamide	Tension	0.02	0.02	0.02
nilutamide	Urinary tract infection	0.08	0.08	0.08
nilutamide	Visual impairment	0.067	0.067	0.067
nilutamide	Weight decreased	0.02	0.02	0.02
nimodipine	Acne	0.0	0.0	0.0
nimodipine	Bradycardia	0.0	0.0	0.0
nimodipine	Cramp muscle	0.0	0.0	0.0
nimodipine	Depression	0.0	0.0	0.0
nimodipine	Dermatitis	0.0243902	0.0243902	0.0243902
nimodipine	Diarrhoea	0.0	0.0	0.0
nimodipine	Dyspnoea	0.0121951	0.0121951	0.0121951
nimodipine	Fluid retention	0.003	0.003	0.003
nimodipine	Flushing	0.021	0.021	0.021
nimodipine	Gastrointestinal disorder	0.0243902	0.0243902	0.0243902
nimodipine	Gastrointestinal symptom NOS	0.0243902	0.0243902	0.0243902
nimodipine	Headache	0.0	0.041	0.0205
nimodipine	Hypotension	0.0121951	0.0121951	0.0121951
nimodipine	Muscle spasms	0.0	0.0	0.0
nimodipine	Musculoskeletal discomfort	0.0	0.0	0.0
nimodipine	Myalgia	0.0	0.0	0.0
nimodipine	Nausea	0.0121951	0.0121951	0.0121951
nimodipine	Oedema	0.0	0.0	0.0
nimodipine	Rash	0.0243902	0.0243902	0.0243902
nimodipine	Subarachnoid haemorrhage	0.112	0.112	0.112
nimodipine	Tachycardia	0.0	0.0	0.0
nisoldipine	Chest pain	0.02	0.02	0.02
nisoldipine	Dermatitis	0.02	0.02	0.02
nisoldipine	Dizziness	0.03	0.07	0.0475
nisoldipine	Headache	0.22	0.22	0.22
nisoldipine	Nausea	0.02	0.02	0.02
nisoldipine	Oedema peripheral	0.07	0.27	0.182
nisoldipine	Palpitations	0.03	0.03	0.03
nisoldipine	Pharyngitis	0.05	0.05	0.05
nisoldipine	Rash	0.02	0.02	0.02
nisoldipine	Sinusitis	0.03	0.03	0.03
nisoldipine	Vasodilation	0.04	0.04	0.04
nisoldipine	Vasodilation procedure	0.04	0.04	0.04
nitazoxanide	Abdominal pain	0.066	0.078	0.07033333333333334
nitazoxanide	Diarrhoea	0.021	0.043	0.035333333333333335
nitazoxanide	Gastrointestinal pain	0.066	0.078	0.07033333333333334
nitazoxanide	Headache	0.011	0.031	0.020999999999999998
nitazoxanide	Nausea	0.03	0.031	0.0305
nitazoxanide	Vomiting	0.011	0.011	0.011
nitrofurantoin	Flatulence	0.015	0.015	0.015
nitrofurantoin	Headache	0.06	0.06	0.06
nitrofurantoin	Nausea	0.08	0.08	0.08
nitrogen	Blister	0.02	0.06	0.04
nitrogen	Dermatitis	0.17	0.58	0.385
nitrogen	Dermatitis bullous	0.02	0.06	0.04
nitrogen	Pruritus	0.02	0.2	0.105
nitrogen	Skin bacterial infection	0.02	0.11	0.07333333333333333
nitrogen	Skin hyperpigmentation	0.0	0.07	0.04
nitrogen	Skin ulcer	0.02	0.06	0.04
nitroglycerin	Angina pectoris	0.02	0.02	0.02
nitroglycerin	Angina pectoris aggravated	0.02	0.02	0.02
nitroglycerin	Application site erythema	0.01	0.01	0.01
nitroglycerin	Dermatitis atopic	0.01	0.01	0.01
nitroglycerin	Dermatitis contact	0.01	0.01	0.01
nitroglycerin	Dermatitis exfoliative	0.0001	0.0001	0.0001
nitroglycerin	Dizziness	0.0001	0.06	0.03336666666666666
nitroglycerin	Flushing	0.01	0.01	0.01
nitroglycerin	Headache	0.0001	0.63	0.22003333333333333
nitroglycerin	Hypersensitivity	0.01	0.01	0.01
nitroglycerin	Hypotension	0.04	0.04	0.04
nitroglycerin	Lightheadedness	0.06	0.06	0.06
nitroglycerin	Loss of consciousness	0.04	0.04	0.04
nitroglycerin	Nausea	0.01	1.0	0.505
nitroglycerin	Orthostatic hypotension	0.01	0.01	0.01
nitroglycerin	Pruritus	0.01	0.01	0.01
nitroglycerin	Shock	0.01	0.04	0.025
nitroglycerin	Syncope	0.04	0.04	0.04
nitroglycerin	Vomiting	0.01	1.0	0.505
nizatidine	Abdominal pain	0.075	0.075	0.075
nizatidine	Abnormal dreams	0.019	0.019	0.019
nizatidine	Amblyopia	0.01	0.01	0.01
nizatidine	Anorexia	0.012	0.012	0.012
nizatidine	Anxiety	0.016	0.016	0.016
nizatidine	Asthenia	0.019	0.031	0.025
nizatidine	Back pain	0.024	0.024	0.024
nizatidine	Body temperature increased	0.016	0.016	0.016
nizatidine	Chest pain	0.019	0.023	0.020999999999999998
nizatidine	Constipation	0.025	0.025	0.025
nizatidine	Cough	0.02	0.02	0.02
nizatidine	Decreased appetite	0.012	0.012	0.012
nizatidine	Dermatitis	0.019	0.019	0.019
nizatidine	Diarrhoea	0.072	0.098	0.08499999999999999
nizatidine	Dizziness	0.046	0.046	0.046
nizatidine	Dry mouth	0.014	0.033	0.0235
nizatidine	Dyspepsia	0.036	0.036	0.036
nizatidine	Flatulence	0.049	0.049	0.049
nizatidine	Gastrointestinal disorder	0.011	0.011	0.011
nizatidine	Gastrointestinal pain	0.075	0.075	0.075
nizatidine	Headache	0.046	0.166	0.10600000000000001
nizatidine	Infection	0.017	0.018	0.0175
nizatidine	Insomnia	0.027	0.027	0.027
nizatidine	Musculoskeletal discomfort	0.017	0.017	0.017
nizatidine	Myalgia	0.017	0.017	0.017
nizatidine	Nausea	0.012	0.054	0.033
nizatidine	Nervousness	0.011	0.011	0.011
nizatidine	Pain	0.027	0.042	0.0345
nizatidine	Pharyngitis	0.033	0.033	0.033
nizatidine	Pruritus	0.017	0.017	0.017
nizatidine	Rash	0.019	0.019	0.019
nizatidine	Rhinitis	0.098	0.098	0.098
nizatidine	Sinusitis	0.024	0.024	0.024
nizatidine	Somnolence	0.019	0.019	0.019
nizatidine	Tension	0.011	0.011	0.011
nizatidine	Tooth disorder	0.01	0.024	0.017
nizatidine	Vomiting	0.012	0.036	0.024
norfloxacin	Abdominal cramps	0.016	0.016	0.016
norfloxacin	Abdominal pain	0.016	0.016	0.016
norfloxacin	Asthenia	0.013	0.013	0.013
norfloxacin	Blood alkaline phosphatase increased	0.011	0.011	0.011
norfloxacin	Dizziness	0.012	0.026	0.018333333333333333
norfloxacin	Eosinophilia	0.006	0.015	0.010499999999999999
norfloxacin	Headache	0.016	0.028	0.021333333333333333
norfloxacin	Lightheadedness	0.012	0.012	0.012
norfloxacin	Nausea	0.026	0.042	0.034
norfloxacin	Phosphatase alkaline increased	0.011	0.011	0.011
norfloxacin	Platelet count decreased	0.01	0.01	0.01
norfloxacin	Protein urine present	0.01	0.01	0.01
norfloxacin	Urinary protein increased	0.01	0.01	0.01
norfloxacin	White blood cell count decreased	0.013	0.013	0.013
o291	Anxiety	0.00171233	0.00171233	0.00171233
o291	Bradycardia	0.00171233	0.00171233	0.00171233
o291	Cold sweat	0.00171233	0.00171233	0.00171233
o291	Diarrhoea	0.00171233	0.00171233	0.00171233
o291	Dizziness	0.00171233	0.00171233	0.00171233
o291	Hypotension	0.00171233	0.00171233	0.00171233
o291	Loss of consciousness	0.00171233	0.00171233	0.00171233
o291	Paraesthesia	0.00171233	0.00171233	0.00171233
o291	Shock	0.00171233	0.00171233	0.00171233
o291	Sticky skin	0.00171233	0.00171233	0.00171233
o291	Syncope	0.00171233	0.00171233	0.00171233
o291	Tingling sensation	0.00171233	0.00171233	0.00171233
ofatumumab	Abdominal pain upper	0.0	0.03	0.015
ofatumumab	Anaemia	0.05	0.17	0.115
ofatumumab	Arthralgia	0.0	0.03	0.015
ofatumumab	Asthenia	0.0	0.15	0.06666666666666667
ofatumumab	Back pain	0.01	0.12	0.057499999999999996
ofatumumab	Body temperature increased	0.03	0.25	0.1325
ofatumumab	Bronchitis	0.01	0.19	0.0825
ofatumumab	Chills	0.0	0.1	0.06
ofatumumab	Cough	0.0	0.19	0.095
ofatumumab	Dermatitis	0.01	0.17	0.08500000000000002
ofatumumab	Diarrhoea	0.0	0.19	0.12333333333333334
ofatumumab	Dyspnoea	0.02	0.19	0.1
ofatumumab	Fatigue	0.0	0.15	0.075
ofatumumab	Headache	0.0	0.07	0.04
ofatumumab	Herpes simplex	0.01	0.04	0.025
ofatumumab	Herpes zoster	0.01	0.07	0.04
ofatumumab	Hyperhidrosis	0.0	0.05	0.025
